sku,days,action,reason,price,new_price,priceTrace,new_priceTrace
20250201-B0007RBX52-UM-1650-1,254,price_down_1,Rule for 254 days (price_down_1),4508,4463.0,0,0.0
20250201-B000LVNOKQ-UVG-330-1,254,price_down_1,Rule for 254 days (price_down_1),1131,1120.0,0,0.0
20250201-B000RGMGAY-UVG-550-1,254,price_down_1,Rule for 254 days (price_down_1),3001,2971.0,0,0.0
20250201-B0011EZ50E-N-330-1,254,price_down_1,Rule for 254 days (price_down_1),1719,1702.0,0,0.0
20250201-B001L7UT5W-UVG-330-1,254,price_down_1,Rule for 254 days (price_down_1),1492,1477.0,0,0.0
20250201-B01B7MZJ8C-N-550-1,254,price_down_1,Rule for 254 days (price_down_1),1492,1477.0,0,0.0
20250329-B005VLND4I-UM-330-1,198,price_down_1,Rule for 198 days (price_down_1),2351,2327.0,0,0.0
2025_0102_7727_new_440_2,284,profit_ignore_down,Rule for 284 days (profit_ignore_down) (Profit Guard Ignored),1268,1255.0,0,0.0
2025_0106_2655_new_330_1,280,profit_ignore_down,Rule for 280 days (profit_ignore_down) (Profit Guard Ignored),2154,2132.0,0,0.0
2025_0106_3286_used02_880_1,280,profit_ignore_down,Rule for 280 days (profit_ignore_down) (Profit Guard Ignored),4752,4704.0,0,0.0
2025_0117_3426_used02_990_1,269,price_down_1,Rule for 269 days (price_down_1) (Profit Guard Applied),1570,1570.0,0,0.0
2025_0117_7286_new_550_1,269,price_down_1,Rule for 269 days (price_down_1),3509,3474.0,0,0.0
2025_0117_9192_new_770_1,269,price_down_1,Rule for 269 days (price_down_1),2606,2580.0,0,0.0
2025_0125_3495_new_110_5,261,price_down_1,Rule for 261 days (price_down_1),770,762.0,0,0.0
2025_0125_3678_used02_858_1,261,price_down_1,Rule for 261 days (price_down_1) (Profit Guard Applied),1773,1773.0,0,0.0
2025_0125_4794_new_110_1,261,price_down_1,Rule for 261 days (price_down_1),969,959.0,0,0.0
2025_0125_6783_new_550_1,261,price_down_1,Rule for 261 days (price_down_1),4435,4391.0,0,0.0
2025_0125_6867_used02_990_1,261,price_down_1,Rule for 261 days (price_down_1),2042,2022.0,0,0.0
