"sku","days","action","reason","price","new_price","priceTrace","new_priceTrace"
"20250201-B0007RBX52-UM-1650-1","266","price_down_1","Rule for 266 days (price_down_1)","4463","4418.0","0","0"
"20250201-B000LVNOKQ-UVG-330-1","266","price_down_1","Rule for 266 days (price_down_1)","1120","1109.0","0","0"
"20250201-B000RGMGAY-UVG-550-1","266","price_down_1","Rule for 266 days (price_down_1)","2971","2941.0","0","0"
"20250201-B0011EZ50E-N-330-1","266","price_down_1","Rule for 266 days (price_down_1)","1702","1685.0","0","0"
"20250201-B001L7UT5W-UVG-330-1","266","price_down_1","Rule for 266 days (price_down_1)","1477","1462.0","0","0"
"20250201-B01B7MZJ8C-N-550-1","266","price_down_1","Rule for 266 days (price_down_1)","1477","1462.0","0","0"
"20250329-B005VLND4I-UM-330-1","210","price_down_1","Rule for 210 days (price_down_1)","2327","2304.0","0","0"
"2025_0102_7727_new_440_2","296","profit_ignore_down","Rule for 296 days (profit_ignore_down) (Profit Guard Ignored)","1255","1242.0","0","0"
"2025_0106_2655_new_330_1","292","profit_ignore_down","Rule for 292 days (profit_ignore_down) (Profit Guard Ignored)","2132","2111.0","0","0"
"2025_0106_3286_used02_880_1","292","profit_ignore_down","Rule for 292 days (profit_ignore_down) (Profit Guard Ignored)","4704","4657.0","0","0"
"2025_0117_3426_used02_990_1","281","profit_ignore_down","Rule for 281 days (profit_ignore_down) (Profit Guard Ignored)","1570","1554.0","0","0"
"2025_0117_7286_new_550_1","281","profit_ignore_down","Rule for 281 days (profit_ignore_down) (Profit Guard Ignored)","3474","3439.0","0","0"
"2025_0117_9192_new_770_1","281","profit_ignore_down","Rule for 281 days (profit_ignore_down) (Profit Guard Ignored)","2580","2554.0","0","0"
"2025_0125_3495_new_110_5","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","762","754.0","0","0"
"2025_0125_3678_used02_858_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","1773","1755.0","0","0"
"2025_0125_4794_new_110_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","959","949.0","0","0"
"2025_0125_6783_new_550_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","4391","4347.0","0","0"
"2025_0125_6867_used02_990_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","2022","2002.0","0","0"
"2025_0125_6943_used02_880_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","4195","4153.0","0","0"
"2025_0125_8232_used02_550_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","2722","2695.0","0","0"
"2025_0125_8243_used02_550_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","1533","1518.0","0","0"
"2025_0125_8950_new_550_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","1539","1524.0","0","0"
"2025_0125_8978_used02_330_1","273","profit_ignore_down","Rule for 273 days (profit_ignore_down) (Profit Guard Ignored)","2156","2134.0","0","0"
"250518-N-S-K2-001-OT-1-004","160","price_down_1","Rule for 160 days (price_down_1)","1096","1085.0","0","0"
"250518-N-S-K2-002-OT-1-012","160","price_down_1","Rule for 160 days (price_down_1)","4900","4851.0","0","0"
"250518-N-S-K2-009-GA-2-029","160","price_down_1","Rule for 160 days (price_down_1)","6841","6773.0","0","0"
"250518-N-S-K2-009-OT-1-030","160","price_down_1","Rule for 160 days (price_down_1)","1960","1940.0","0","0"
"250518-N-S-K2-011-OT-1-033","160","price_down_1","Rule for 160 days (price_down_1)","1604","1588.0","0","0"
"250518-U-S-K2-001-OT-2-009","160","price_down_1","Rule for 160 days (price_down_1)","2352","2328.0","0","0"
"250518-U-S-K2-003-OT-1-024","160","price_down_1","Rule for 160 days (price_down_1)","2234","2212.0","0","0"
"250518-U-S-K2-007-OT-1-035","160","price_down_1","Rule for 160 days (price_down_1)","1744","1727.0","0","0"
"250518-U-S-K2-007-OT-1-037","160","price_down_1","Rule for 160 days (price_down_1)","1695","1678.0","0","0"
"250519-N-L-XX-000-BK-1-011","159","price_down_1","Rule for 159 days (price_down_1)","8165","8083.0","0","0"
"250519-N-L-XX-000-TO-1-012","159","price_down_1","Rule for 159 days (price_down_1)","3430","3396.0","0","0"
"250519-U-L-XX-000-TO-1-002","159","price_down_1","Rule for 159 days (price_down_1)","3705","3668.0","0","0"
"250524-N-S-K2-012-TO-1-005","154","price_down_1","Rule for 154 days (price_down_1)","3430","3396.0","0","0"
"250526-1-S-H1-009-00-1-038","152","price_down_1","Rule for 152 days (price_down_1)","2528","2503.0","0","0"
"250526-11-S-H1-000-00-2-040","152","price_down_1","Rule for 152 days (price_down_1)","5175","5123.0","0","0"
"250526-11-S-H1-007-00-1-034","152","price_down_1","Rule for 152 days (price_down_1)","7365","7291.0","0","0"
"250526-2-S-H1-001-00-1-002","152","price_down_1","Rule for 152 days (price_down_1)","4900","4851.0","0","0"
"250526-2-S-H1-002-00-1-005","152","price_down_1","Rule for 152 days (price_down_1)","4410","4366.0","0","0"
"250526-2-S-H1-002-00-1-008","152","price_down_1","Rule for 152 days (price_down_1)","2920","2891.0","0","0"
"250526-2-S-H1-004-00-1-020","152","price_down_1","Rule for 152 days (price_down_1)","2872","2843.0","0","0"
"250526-2-S-H1-007-00-1-030","152","price_down_1","Rule for 152 days (price_down_1)","5665","5608.0","0","0"
"250526-2-S-H1-009-00-1-036","152","price_down_1","Rule for 152 days (price_down_1)","2794","2766.0","0","0"
"250528-11-H-Z9-000--1-002","150","price_down_1","Rule for 150 days (price_down_1)","2507","2482.0","0","0"
"250528-11-H-Z9-000--1-011","150","price_down_1","Rule for 150 days (price_down_1)","1960","1940.0","0","0"
"250528-11-H-Z9-000--1-012","150","price_down_1","Rule for 150 days (price_down_1)","3430","3396.0","0","0"
"250602-1-S-C2-001-Z-1-010","145","price_down_1","Rule for 145 days (price_down_1)","1940","1921.0","0","0"
"250602-1-S-C2-001-Z-1-025","145","price_down_1","Rule for 145 days (price_down_1)","2598","2572.0","0","0"
"250602-1-S-C2-001-Z-1-034","145","price_down_1","Rule for 145 days (price_down_1)","5567","5511.0","0","0"
"250602-1-S-C2-001-Z-1-040","145","price_down_1","Rule for 145 days (price_down_1)","2920","2891.0","0","0"
"250602-11-S-C2-001-Z-1-035","145","price_down_1","Rule for 145 days (price_down_1)","2156","2134.0","0","0"
"250602-11-S-C2-001-Z-1-042","145","price_down_1","Rule for 145 days (price_down_1)","1940","1921.0","0","0"
"250602-2-S-C2-001-Z-1-005","145","price_down_1","Rule for 145 days (price_down_1)","2352","2328.0","0","0"
"250602-2-S-C2-001-Z-1-015","145","price_down_1","Rule for 145 days (price_down_1)","5097","5046.0","0","0"
"250602-2-S-C2-001-Z-1-021","145","price_down_1","Rule for 145 days (price_down_1)","3920","3881.0","0","0"
"250602-2-S-C2-001-Z-1-022","145","price_down_1","Rule for 145 days (price_down_1)","4881","4832.0","0","0"
"250602-2-S-C2-001-Z-1-036","145","price_down_1","Rule for 145 days (price_down_1)","3803","3765.0","0","0"
"250602-2-S-C2-001-Z-1-044","145","price_down_1","Rule for 145 days (price_down_1)","3411","3377.0","0","0"
"250607-UX-L-C2-003-4950-1-013","140","price_down_1","Rule for 140 days (price_down_1)","3959","3919.0","0","0"
"250609-UX-L-T1-002-ta6390-1-030","138","price_down_1","Rule for 138 days (price_down_1)","12694","12567.0","0","0"
"250609-UX-N-T1-005--1-022","138","price_down_1","Rule for 138 days (price_down_1)","2332","2309.0","0","0"
"250609-UX-N-T1-005--1-024","138","price_down_1","Rule for 138 days (price_down_1)","1960","1940.0","0","0"
"250609-UX-N-T1-005--1-025","138","price_down_1","Rule for 138 days (price_down_1)","2352","2328.0","0","0"
"250609-UX-N-T1-005--1-026","138","price_down_1","Rule for 138 days (price_down_1)","2332","2309.0","0","0"
"250609-UX-N-T1-008-ta2800-1-018","138","price_down_1","Rule for 138 days (price_down_1)","3901","3862.0","0","0"
"250609-UX-N-T1-012--1-006","138","price_down_1","Rule for 138 days (price_down_1)","3901","3862.0","0","0"
"250609-UX-N-T1-012--1-008","138","price_down_1","Rule for 138 days (price_down_1)","3313","3280.0","0","0"
"250609-UX-N-T1-012--1-010","138","price_down_1","Rule for 138 days (price_down_1)","2058","2037.0","0","0"
"250615-UX-N-C3-001--1-001","132","price_down_1","Rule for 132 days (price_down_1)","9038","8948.0","0","0"
"250615-UX-N-C3-002--1-008","132","price_down_1","Rule for 132 days (price_down_1)","2920","2891.0","0","0"
"250615-UX-N-C3-002--1-013","132","price_down_1","Rule for 132 days (price_down_1)","3901","3862.0","0","0"
"250615-UX-N-C3-002-ta1980-1-010","132","price_down_1","Rule for 132 days (price_down_1)","3430","3396.0","0","0"
"250615-UX-N-C3-002-ta2198-1-005","132","price_down_1","Rule for 132 days (price_down_1)","2940","2911.0","0","0"
"250615-UX-N-C3-003--1-021","132","price_down_1","Rule for 132 days (price_down_1)","2352","2328.0","0","0"
"250615-UX-N-C3-003--3-022","132","price_down_1","Rule for 132 days (price_down_1)","2920","2891.0","0","0"
"250615-UX-N-C3-003-ta5480-1-020","132","price_down_1","Rule for 132 days (price_down_1)","6607","6541.0","0","0"
"250615-UX-N-C3-004--1-023","132","price_down_1","Rule for 132 days (price_down_1)","5371","5317.0","0","0"
"250615-UX-N-C3-004--1-024","132","price_down_1","Rule for 132 days (price_down_1)","3724","3687.0","0","0"
"250615-UX-N-C3-004--1-025","132","price_down_1","Rule for 132 days (price_down_1)","7821","7743.0","0","0"
"250615-UX-N-C3-005--2-027","132","price_down_1","Rule for 132 days (price_down_1)","1764","1746.0","0","0"
"250615-UX-N-C3-005-ta2880-1-026","132","price_down_1","Rule for 132 days (price_down_1)","3607","3571.0","0","0"
"250615-UX-N-C3-006--1-028","132","price_down_1","Rule for 132 days (price_down_1)","3430","3396.0","0","0"
"250615-UX-N-C3-006--1-030","132","price_down_1","Rule for 132 days (price_down_1)","1647","1631.0","0","0"
"250615-UX-N-C3-006--1-031","132","price_down_1","Rule for 132 days (price_down_1)","1176","1164.0","0","0"
"250615-UX-N-C3-006-ta2980-1-029","132","price_down_1","Rule for 132 days (price_down_1)","3430","3396.0","0","0"
"250621-1-004-NA","126","price_down_1","Rule for 126 days (price_down_1)","882","873.0","0","0"
"250621-1-022-TA9500","126","price_down_1","Rule for 126 days (price_down_1)","10761","10653.0","0","0"
"250621-1-026-NA","126","price_down_1","Rule for 126 days (price_down_1)","1940","1921.0","0","0"
"250621-1-029-NA","126","price_down_1","Rule for 126 days (price_down_1)","1470","1455.0","0","0"
"250621-11-027-NA","126","price_down_1","Rule for 126 days (price_down_1)","3901","3862.0","0","0"
"250621-2-002-TA4200","126","price_down_1","Rule for 126 days (price_down_1)","6155","6093.0","0","0"
"250621-2-005-NA","126","price_down_1","Rule for 126 days (price_down_1)","2156","2134.0","0","0"
"250621-2-006-TA5980","126","price_down_1","Rule for 126 days (price_down_1)","7997","7917.0","0","0"
"250621-2-011-NA","126","price_down_1","Rule for 126 days (price_down_1)","2038","2018.0","0","0"
"250621-2-012-TA3500","126","price_down_1","Rule for 126 days (price_down_1)","4410","4366.0","0","0"
"250621-2-013-NA","126","price_down_1","Rule for 126 days (price_down_1)","3705","3668.0","0","0"
"250621-2-017-NA","126","price_down_1","Rule for 126 days (price_down_1)","3901","3862.0","0","0"
"250621-2-020-NA","126","price_down_1","Rule for 126 days (price_down_1)","5769","5711.0","0","0"
"250621-2-024-NA","126","price_down_1","Rule for 126 days (price_down_1)","2430","2406.0","0","0"
"250621-2-034-NA","126","price_down_1","Rule for 126 days (price_down_1)","1940","1921.0","0","0"
"250621-2-035-NA","126","price_down_1","Rule for 126 days (price_down_1)","3411","3377.0","0","0"
"250621-2-038-NA","126","price_down_1","Rule for 126 days (price_down_1)","1940","1921.0","0","0"
"250621-2-040-NA","126","price_down_1","Rule for 126 days (price_down_1)","3117","3086.0","0","0"
"250621-2-045-NA","126","price_down_1","Rule for 126 days (price_down_1)","3430","3396.0","0","0"
