"sku","asin","title","days","action","reason","price","new_price","priceTrace","new_priceTrace","priceTraceChange"
"20250201-B0007RBX52-UM-1650-1","B0007RBX52","JVCケンウッド ビクター カセットアダプター C-P8","266","price_down_2","Rule for 266 days (price_down_2)","4418","4330.0","0","0","0.0"
"20250201-B000LVNOKQ-UVG-330-1","B000LVNOKQ","ひらがなあそび KH-150","266","price_down_2","Rule for 266 days (price_down_2)","1109","1087.0","0","0","0.0"
"20250201-B000RGMGAY-UVG-550-1","B000RGMGAY","OLYMPUS 防水プロテクター μ780用 PT-039","266","price_down_2","Rule for 266 days (price_down_2)","2941","2882.0","0","0","0.0"
"20250201-B0011EZ50E-N-330-1","B0011EZ50E","東和産業 食器棚用 キッチンシート 幅30cm ズレ キズ防止 クリア","266","price_down_2","Rule for 266 days (price_down_2)","1685","1651.0","0","0","0.0"
"20250201-B001L7UT5W-UVG-330-1","B001L7UT5W","PLANEX ひかりTV・フレッツv6対応 高機能・高速ブロードバンド有線LANルータ BRL-04M","266","price_down_2","Rule for 266 days (price_down_2)","1462","1433.0","0","0","0.0"
"20250201-B00JGFO7YU-UVG-990-1","B00JGFO7YU","CBジャパン サラダ&デザートメーカー 「5種類のサラダレシピ・5色のデザートレシピ付き」 TOM-04","266","price_down_2","Rule for 266 days (price_down_2)","2893","2835.0","0","0","0.0"
"20250201-B01B7MZJ8C-N-550-1","B01B7MZJ8C","エンスカイ(ENSKY) 108ピース ジグソーパズル おそ松さん 松野家の6つ子たち ラージピース(26x38cm) 108-L553","266","price_down_2","Rule for 266 days (price_down_2)","1462","1433.0","0","0","0.0"
"20250329-B005VLND4I-UM-330-1","B005VLND4I","佐藤金属興業 SALUS マルチコンティ L 2h ブラウン×ミント","210","price_down_2","Rule for 210 days (price_down_2)","2304","2258.0","0","0","0.0"
"2025_0102_7727_new_440_2","B004JF4P58","キングジム ショットノート メモパッド Lサイズ 9102 白","296","price_down_ignore","Rule for 296 days (price_down_ignore)","1242","1242.0","0","0","0.0"
"2025_0106_2655_new_330_1","B01HT4VAYY","北川工業 キタリア 大型テレビ用転倒防止固定具 【SUPERタックフィット】 60型以下対応 日本製 2個入り TF-VCB-TV-2S","292","price_down_ignore","Rule for 292 days (price_down_ignore)","2111","2111.0","0","0","0.0"
"2025_0106_3286_used02_880_1","B00NPPM0IW","OGK技研 オージーケー技研 チャイルドシート周辺グッズBKF-001(HBCシリーズ用ブランケット)チャコール自転車用","292","price_down_ignore","Rule for 292 days (price_down_ignore)","4657","4657.0","0","0","0.0"
"2025_0117_3426_used02_990_1","B01LVWLD4H","バンダイ(BANDAI) 目覚めろ動物の力！変身携帯ジュウオウチェンジャー＆本能覚醒マスクセット","281","price_down_ignore","Rule for 281 days (price_down_ignore)","1554","1554.0","0","0","0.0"
"2025_0117_9192_new_770_1","B09G99SL2G","miffy ミッフィー ブック型加湿器 USB充電 卓上(ブラウン)","281","price_down_ignore","Rule for 281 days (price_down_ignore)","2554","2554.0","0","0","0.0"
"2025_0125_3495_new_110_5","B0000A40YM","EPSON 写真用紙 L判写真サイズ 20枚入り KL20PSK","273","price_down_ignore","Rule for 273 days (price_down_ignore)","754","754.0","0","0","0.0"
"2025_0125_3678_used02_858_1","B07DGPBF22","ウルトラマンR/B(ルーブ) DXルーブスラッガー","273","price_down_ignore","Rule for 273 days (price_down_ignore)","1755","1755.0","0","0","0.0"
"2025_0125_4794_new_110_1","B006J5PKFK","日本アンテナ テレビプラグ 1個入 (ブラック) FP-7C(B)-SP","273","price_down_ignore","Rule for 273 days (price_down_ignore)","949","949.0","0","0","0.0"
"2025_0125_6783_new_550_1","B0002VE2TW","ＦＩＭＯ フィモソフトマテリアルパック１０色セット","273","price_down_ignore","Rule for 273 days (price_down_ignore)","4347","4347.0","0","0","0.0"
"2025_0125_6867_used02_990_1","B07CRDX3DN","BANDAI アンパンマン 磁石でパチッと! ひらめきキューブ アンパンマンごうセット","273","price_down_ignore","Rule for 273 days (price_down_ignore)","2002","2002.0","0","0","0.0"
"2025_0125_6943_used02_880_1","B07RZZK59Q","ウルトラマンタイガ DXウルトラマンタイガ完全なりきりセット","273","price_down_ignore","Rule for 273 days (price_down_ignore)","4153","4153.0","0","0","0.0"
"2025_0125_8232_used02_550_1","B0B68LMQNP","ニチガン DB250 ミッフィーかさねてリングトス","273","price_down_ignore","Rule for 273 days (price_down_ignore)","2695","2695.0","0","0","0.0"
"2025_0125_8243_used02_550_1","B079HLQTWH","快盗戦隊ルパンレンジャーVS警察戦隊パトレンジャー VSビークルシリーズ ダブル変形 DXグッドストライカー","273","price_down_ignore","Rule for 273 days (price_down_ignore)","1518","1518.0","0","0","0.0"
"2025_0125_8950_new_550_1","B00BH0QD3U","SOZO おしっこブロック/フットボール BCSZ00107","273","price_down_ignore","Rule for 273 days (price_down_ignore)","1524","1524.0","0","0","0.0"
"2025_0125_8978_used02_330_1","B07DGQT6NL","ウルトラマンR/B(ルーブ) DXルーブクリスタルホルダー","273","price_down_ignore","Rule for 273 days (price_down_ignore)","2134","2134.0","0","0","0.0"
"250518-N-S-K2-001-OT-1-004","1411434811","Phonics (Flash Kids Flash Cards) [カード] Flash Kids","160","price_down_1","Rule for 160 days (price_down_1)","1085","1074.0","0","0","0.0"
"250518-N-S-K2-002-OT-1-012","B006H07JGU","954ピース ジグソーパズル しあわせ桜地蔵 (34x102cm)","160","price_down_1","Rule for 160 days (price_down_1)","4851","4802.0","0","0","0.0"
"250518-N-S-K2-009-GA-2-029","B0002YN4RK","ロード･オブ･ザ･リング ～指輪物語～ (ボードゲーム)","160","price_down_1","Rule for 160 days (price_down_1)","6773","6705.0","0","0","0.0"
"250518-N-S-K2-009-OT-1-030","B0015QJD9W","4M グリーティングカードキット 00-04559","160","price_down_1","Rule for 160 days (price_down_1)","1940","1921.0","0","0","0.0"
"250518-N-S-K2-011-OT-1-033","B07MC2Z2XY","明邦 SNOOPY スヌーピー 車用 スマートキーケース 透明ウィンドウ ブラウン SN161","160","price_down_1","Rule for 160 days (price_down_1)","1588","1572.0","0","0","0.0"
"250518-U-S-K2-001-OT-2-009","4885740975","心を癒す大人のスクラッチアート『花曼荼羅 アラビア文様』 ([バラエティ]) Shizu","160","price_down_1","Rule for 160 days (price_down_1)","2328","2305.0","0","0","0.0"
"250518-U-S-K2-007-OT-1-035","B0022SGB92","マスプロ電工 ２分配器 屋内用 全端子電流通過型 2SPED-P","160","price_down_1","Rule for 160 days (price_down_1)","1727","1710.0","0","0","0.0"
"250518-U-S-K2-007-OT-1-037","B006VRRG6C","もじもじべあ moji moji bear","160","price_down_1","Rule for 160 days (price_down_1)","1678","1661.0","0","0","0.0"
"250519-N-L-XX-000-BK-1-011","B0014BBSVY","昭和カートン 地球儀 球径26cm 26-GF 行政図タイプ 日本地図付","159","price_down_1","Rule for 159 days (price_down_1)","8083","8002.0","0","0","0.0"
"250519-N-L-XX-000-TO-1-012","B001E3ER1U","エポック社 木製パズルフレーム ウッディーパネルエクセレント ゴールドライン シャイングリーン (38x53cm)(パネルNo.5-B) 掛ヒモ 点数券付き セルカバーUVカット仕様 パズル Frame 額縁 EPOCH","159","price_down_1","Rule for 159 days (price_down_1)","3396","3362.0","0","0","0.0"
"250519-U-L-XX-000-TO-1-002","B09NLTQCBD","[バンダイ] 暴太郎戦隊ドンブラザーズ DXザングラソード(対象年齢:3歳以上)","159","price_down_1","Rule for 159 days (price_down_1)","3668","3631.0","0","0","0.0"
"250524-N-S-K2-012-TO-1-005","B01D8C59A2","くもん出版 スネークルン 知育玩具 おもちゃ 4歳以上 KUMON","154","price_down_1","Rule for 154 days (price_down_1)","3396","3362.0","0","0","0.0"
"250526-1-S-H1-009-00-1-038","B07DN4YK4C","うちの赤ちゃん世界一(R) 五感を育てるメリー","152","price_down_1","Rule for 152 days (price_down_1)","2503","2478.0","0","0","0.0"
"250526-11-S-H1-000-00-2-040","B005XIX5LK","エンスカイ(ENSKY) パズルフレーム ジブリ作品専用 どんぐり 茶 (26x38cm)","152","price_down_1","Rule for 152 days (price_down_1)","5123","5072.0","0","0","0.0"
"250526-11-S-H1-007-00-1-034","B097PY8NFC","Ugears アクアリウム 70155 木製パズル 接着剤工具不要 立体パズル 大人向け 模型","152","price_down_1","Rule for 152 days (price_down_1)","7291","7218.0","0","0","0.0"
"250526-2-S-H1-002-00-1-005","B07STVBPFR","ゆびわんこ トイプードルとブランコのおうち","152","price_down_1","Rule for 152 days (price_down_1)","4366","4322.0","0","0","0.0"
"250526-2-S-H1-002-00-1-008","B07NBPZ5NX","BANDAI ウルトラマン 迫力サウンド! 怪獣ぶっ飛び! ベリアルキャッスル","152","price_down_1","Rule for 152 days (price_down_1)","2891","2862.0","0","0","0.0"
"250526-2-S-H1-004-00-1-020","B003MZQR16","NEC Aterm WR8170N[HPモデル] PA-WR8170N-HP","152","price_down_1","Rule for 152 days (price_down_1)","2843","2815.0","0","0","0.0"
"250526-2-S-H1-007-00-1-030","B077SMP29M","KORG(コルグ) チューナー メトロノーム TM-60 小型/コンパクト/初心者/吹奏楽/ブラスバンド/オーケストラ/個人練習/持ち運び ホワイト TM60WH","152","price_down_1","Rule for 152 days (price_down_1)","5608","5552.0","0","0","0.0"
"250526-2-S-H1-009-00-1-036","B06XW8MKD7","こえだちゃん こえだとママのおりょうり キッチンセット","152","price_down_1","Rule for 152 days (price_down_1)","2766","2738.0","0","0","0.0"
"250528-11-H-Z9-000--1-002","B0181P6GL2","コンビ ベビーレーベル 湯温計 ピスタチオ","150","price_down_1","Rule for 150 days (price_down_1)","2482","2457.0","0","0","0.0"
"250528-11-H-Z9-000--1-011","B00I4UQAWA","山佐時計計器 わんにゃんらいふ ピンク","150","price_down_1","Rule for 150 days (price_down_1)","1940","1921.0","0","0","0.0"
"250528-11-H-Z9-000--1-012","B0055QBJSQ","オムロン(OMRON) 活動量計 カロリスキャン WellnessLink ブルー HJA-307IT-B","150","price_down_1","Rule for 150 days (price_down_1)","3396","3362.0","0","0","0.0"
"250602-1-S-C2-001-Z-1-010","B005MWADAS","クックドームシリコンスチーマー","145","price_down_1","Rule for 145 days (price_down_1)","1921","1902.0","0","0","0.0"
